JURISDICTION,YEAR,POPULATION,MURDER,RAPE,ROBBERY,AGG. ASSAULT,B & E,LARCENY THEFT,M/V THEFT,GRAND TOTAL,PERCENT CHANGE,VIOLENT CRIME TOTAL,VIOLENT CRIME PERCENT,VIOLENT CRIME PERCENT CHANGE,PROPERTY CRIME TOTALS,PROPERTY CRIME PERCENT,PROPERTY CRIME PERCENT CHANGE,"OVERALL CRIME RATE PER 100,000 PEOPLE","OVERALL PERCENT CHANGE PER 100,000 PEOPLE","VIOLENT CRIME RATE PER 100,000 PEOPLE","VIOLENT CRIME RATE PERCENT CHANGE PER 100,000 PEOPLE","PROPERTY CRIME RATE PER 100,000 PEOPLE","PROPERTY CRIME RATE PERCENT CHANGE PER 100,000 PEOPLE","MURDER PER 100,000 PEOPLE","RAPE PER 100,000 PEOPLE","ROBBERY PER 100,000 PEOPLE","AGG. ASSAULT PER 100,000 PEOPLE","B & E PER 100,000 PEOPLE","LARCENY THEFT PER 100,000 PEOPLE","M/V THEFT PER 100,000 PEOPLE","MURDER  RATE PERCENT CHANGE PER 100,000 PEOPLE","RAPE RATE PERCENT CHANGE PER 100,000 PEOPLE","ROBBERY RATE PERCENT CHANGE PER 100,000 PEOPLE","AGG. ASSAULT  RATE PERCENT CHANGE PER 100,000 PEOPLE","B & E RATE PERCENT CHANGE PER 100,000 PEOPLE","LARCENY THEFT  RATE PERCENT CHANGE PER 100,000 PEOPLE","M/V THEFT  RATE PERCENT CHANGE PER 100,000 PEOPLE"
Allegany County,1975,79655,3,5,20,114,669,1425,93,2329,,142,61,,2187,939,,29239,,1783,,27456,,38,63,251,1431,8399,1789,1168,,,,,,,
Allegany County,1976,83923,2,2,24,59,581,1384,73,2125,-88,87,41,-387,2038,959,-68,25321,-134,1037,-418,24284,-116,24,24,286,703,6923,16491,87,-367,-62,139,-509,-176,-78,-255
Allegany County,1977,82102,3,7,32,85,592,1390,102,2211,4,127,57,46,2084,943,23,2693,64,1547,492,25383,45,37,85,39,1035,7211,1693,1242,533,2578,363,473,42,27,428
Allegany County,1978,79966,1,2,18,81,539,1390,100,2131,-36,102,48,-197,2029,952,-26,26649,-1,1276,-175,25373,0,13,25,225,1013,674,17382,1251,-658,-707,-422,-22,-65,27,7
Allegany County,1979,79721,1,7,18,84,502,1611,99,2322,9,110,47,78,2212,953,9,29127,93,138,82,27747,94,13,88,226,1054,6297,20208,1242,3,2511,3,4,-66,163,-7
Allegany County,1980,80461,2,12,26,79,541,1706,108,2474,65,119,48,82,2355,952,65,30748,56,1479,72,29269,55,25,149,323,982,6724,21203,1342,982,699,431,-68,68,49,81
Allegany County,1981,81781,11,13,24,101,539,1697,88,2473,0,149,6,252,2324,94,-13,30239,-17,1822,232,28417,-29,135,159,293,1235,6591,20751,1076,4411,66,-92,258,-2,-21,-198
Allegany County,1982,81858,1,18,18,80,447,1570,55,2189,-115,117,53,-215,2072,947,-108,26741,-116,1429,-216,25312,-109,12,22,22,977,5461,1918,672,-909,383,-251,-209,-171,-76,-376
Allegany County,1983,82605,5,9,19,89,347,1412,67,1948,-11,122,63,43,1826,937,-119,23582,-118,1477,33,22105,-127,61,109,23,1077,4201,17093,811,3955,-505,46,102,-231,-109,207
Allegany County,1984,80835,2,15,6,67,361,1338,68,1857,-47,90,48,-262,1767,952,-32,22973,-26,1113,-246,21859,-11,25,186,74,829,4466,16552,841,-591,703,-677,-231,63,-32,37
Allegany County,1985,77655,0,7,12,70,396,1249,61,1795,-33,89,5,-11,1706,95,-35,23115,6,1146,29,21969,5,0,9,155,901,5099,16084,786,-100,-514,1082,88,142,-28,-66
Allegany County,1986,78947,1,11,12,97,432,1393,60,2006,118,121,6,36,1885,94,105,25409,99,1533,337,23877,87,13,139,152,1229,5472,17645,76,1267,546,-16,363,73,97,-32
Allegany County,1987,75697,2,9,22,120,409,1390,59,2011,2,153,76,264,1858,924,-14,26566,46,2021,319,24545,28,26,119,291,1585,5403,18363,779,1086,-147,912,29,-13,41,26
Allegany County,1988,76500,4,19,16,124,448,1439,81,2131,6,163,76,65,1968,924,59,27856,49,2131,54,25725,48,52,248,209,1621,5856,1881,1059,979,1089,-28,22,84,24,358
Allegany County,1989,76375,2,20,16,153,514,1505,70,2280,7,191,84,172,2089,916,61,29853,72,2501,174,27352,63,26,262,209,2003,673,19705,917,-499,54,2,236,149,48,-134
Allegany County,1990,74946,0,17,15,206,464,1620,66,2388,47,238,10,246,2150,90,29,31863,67,3176,27,28687,49,0,227,20,2749,6191,21616,881,-100,-134,-45,372,-8,97,-39
Allegany County,1991,76175,1,20,15,282,511,1580,60,2469,34,318,129,336,2151,871,0,32412,17,4175,315,28238,-16,13,263,197,3702,6708,20742,788,1313,157,-16,347,84,-4,-106
Allegany County,1992,76925,1,12,16,333,483,1749,97,2691,9,362,135,138,2329,865,83,34982,79,4706,127,30276,72,13,156,208,4329,6279,22736,1261,-1,-406,56,169,-64,96,601
Allegany County,1993,75274,1,15,21,343,384,1591,102,2457,-87,380,155,5,2077,845,-108,32641,-67,5048,73,27593,-89,13,199,279,4557,5101,21136,1355,22,277,341,53,-188,-7,75
Allegany County,1994,75891,2,13,18,302,386,1638,75,2434,-9,335,138,-118,2099,862,11,32072,-17,4414,-126,27658,2,26,171,237,3979,5086,21584,988,984,-14,-15,-127,-3,21,-271
